"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
77326008,2000003076,"mimiciv_proc_itemid","Procedure","Procedure",,226236,"1970-01-01","2099-12-31",,4299518,"Maps to","Mapped from","1970-01-01","2099-12-31",
48387007,2000003077,"mimiciv_proc_itemid","Procedure","Procedure",,225448,"1970-01-01","2099-12-31",,4168133,"Maps to","Mapped from","1970-01-01","2099-12-31",
48387007,2000003078,"mimiciv_proc_itemid","Procedure","Procedure",,226237,"1970-01-01","2099-12-31",,4168133,"Maps to","Mapped from","1970-01-01","2099-12-31",
276838001,2000003079,"mimiciv_proc_itemid","Procedure","Procedure",,225202,"1970-01-01","2099-12-31",,4174447,"Maps to","Mapped from","1970-01-01","2099-12-31",
1912002,2000003080,"mimiciv_proc_itemid","Procedure","Procedure",,225474,"1970-01-01","2099-12-31",,436583,"Maps to","Mapped from","1970-01-01","2099-12-31",
71192002,2000003081,"mimiciv_proc_itemid","Procedure","Procedure",,225805,"1970-01-01","2099-12-31",,4324124,"Maps to","Mapped from","1970-01-01","2099-12-31",
175853000,2000003082,"mimiciv_proc_itemid","Procedure","Procedure",,225821,"1970-01-01","2099-12-31",,4022792,"Maps to","Mapped from","1970-01-01","2099-12-31",
175853000,2000003083,"mimiciv_proc_itemid","Procedure","Procedure",,225476,"1970-01-01","2099-12-31",,4022792,"Maps to","Mapped from","1970-01-01","2099-12-31",
65677008,2000003084,"mimiciv_proc_itemid","Procedure","Procedure",,224560,"1970-01-01","2099-12-31",,4279768,"Maps to","Mapped from","1970-01-01","2099-12-31",
65677008,2000003085,"mimiciv_proc_itemid","Procedure","Procedure",,224269,"1970-01-01","2099-12-31",,4279768,"Maps to","Mapped from","1970-01-01","2099-12-31",
65677008,2000003086,"mimiciv_proc_itemid","Procedure","Procedure",,224273,"1970-01-01","2099-12-31",,4279768,"Maps to","Mapped from","1970-01-01","2099-12-31",
104173009,2000003087,"mimiciv_proc_itemid","Procedure","Procedure",,225451,"1970-01-01","2099-12-31",,4015189,"Maps to","Mapped from","1970-01-01","2099-12-31",
18946005,2000003088,"mimiciv_proc_itemid","Procedure","Procedure",,227713,"1970-01-01","2099-12-31",,4078199,"Maps to","Mapped from","1970-01-01","2099-12-31",
277762005,2000003089,"mimiciv_proc_itemid","Procedure","Procedure",,225399,"1970-01-01","2099-12-31",,4080549,"Maps to","Mapped from","1970-01-01","2099-12-31",
700151002,2000003090,"mimiciv_proc_itemid","Procedure","Procedure",,228201,"1970-01-01","2099-12-31",,45763688,"Maps to","Mapped from","1970-01-01","2099-12-31",
700151002,2000003091,"mimiciv_proc_itemid","Procedure","Procedure",,228202,"1970-01-01","2099-12-31",,45763688,"Maps to","Mapped from","1970-01-01","2099-12-31",
